date,name,category,tag,fixed,start_time,end_time,duration,priority,dependencies
15,Sleep,other,fixed,true,0,480,480,0,
15,Breakfast,food,fixed,true,480,510,30,0,
15,Lunch,food,fixed,true,720,780,60,0,
15,Dinner,food,fixed,true,1080,1140,60,0,
15,Commute,other,fixed,true,510,540,30,0,
15,Work Block,work,fixed,true,780,960,180,0,
15,Study Algorithms,study,algorithms,false,540,720,120,9,
15,Data Structures Practice,study,coding,false,600,780,90,8,Study Algorithms
15,Gym Workout,exercise,fitness,false,1020,1200,90,6,
15,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
15,Plan Tomorrow,other,planning,false,1260,1380,30,5,
16,Sleep,other,fixed,true,0,480,480,0,
16,Breakfast,food,fixed,true,480,510,30,0,
16,Lunch,food,fixed,true,720,780,60,0,
16,Dinner,food,fixed,true,1080,1140,60,0,
16,Commute,other,fixed,true,510,540,30,0,
16,Lecture Block,study,fixed,true,540,660,120,0,
16,Review Lecture Notes,study,review,false,660,780,90,8,Lecture Block
16,Project Coding,study,project,false,900,1080,150,10,
16,Email Follow Up,work,admin,false,540,660,30,5,
16,Evening Walk,exercise,health,false,1140,1260,60,4,
16,Read Fiction,entertainment,reading,false,1260,1380,60,3,
17,Sleep,other,fixed,true,0,480,480,0,
17,Breakfast,food,fixed,true,480,510,30,0,
17,Lunch,food,fixed,true,720,780,60,0,
17,Dinner,food,fixed,true,1080,1140,60,0,
17,Commute,other,fixed,true,510,540,30,0,
17,Work Block,work,fixed,true,780,960,180,0,
17,Math Review,study,math,false,840,1020,120,8,
17,Resume Update,work,career,false,900,1020,60,7,
17,Apply Internship,work,career,false,960,1140,90,8,Resume Update
17,Laundry,errand,home,false,900,1080,60,5,
17,Stretching,exercise,health,false,1260,1320,30,3,
18,Sleep,other,fixed,true,0,480,480,0,
18,Breakfast,food,fixed,true,480,510,30,0,
18,Lunch,food,fixed,true,720,780,60,0,
18,Dinner,food,fixed,true,1080,1140,60,0,
18,Commute,other,fixed,true,510,540,30,0,
18,Lecture Block,study,fixed,true,540,660,120,0,
18,Finish Lab,study,lab,false,660,840,120,9,Lecture Block
18,Research Optimization,study,or,false,840,1020,90,7,
18,Coffee Break,food,snack,false,900,960,30,3,
18,Gym Workout,exercise,fitness,false,1020,1200,90,6,
18,Call Family,other,personal,false,1080,1200,45,4,
19,Sleep,other,fixed,true,0,480,480,0,
19,Breakfast,food,fixed,true,480,510,30,0,
19,Lunch,food,fixed,true,720,780,60,0,
19,Dinner,food,fixed,true,1080,1140,60,0,
19,Commute,other,fixed,true,510,540,30,0,
19,Work Block,work,fixed,true,780,960,180,0,
19,Project Coding,study,project,false,900,1080,150,10,
19,Write Project Notes,study,project,false,960,1140,60,7,Project Coding
19,Fill Gas,errand,car,false,960,1080,30,4,
19,Watch Show,entertainment,relax,false,1200,1380,90,3,
19,Plan Tomorrow,other,planning,false,1260,1380,30,5,
19,Weekly Planning,other,planning,false,1140,1260,60,6,
20,Sleep,other,fixed,true,0,540,540,0,
20,Breakfast,food,fixed,true,540,570,30,0,
20,Lunch,food,fixed,true,720,780,60,0,
20,Dinner,food,fixed,true,1080,1140,60,0,
20,Family Time,other,fixed,true,840,930,90,0,
20,Read OR Chapter,study,or,false,780,960,90,7,
20,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
20,Meal Prep,food,cooking,false,900,1080,90,5,
20,Basketball,exercise,sport,false,960,1140,90,5,
20,Movie Night,entertainment,movie,false,1140,1380,120,4,
20,Project Demo Prep,study,project,false,900,1080,120,10,Project Coding
21,Sleep,other,fixed,true,0,540,540,0,
21,Breakfast,food,fixed,true,540,570,30,0,
21,Lunch,food,fixed,true,720,780,60,0,
21,Dinner,food,fixed,true,1080,1140,60,0,
21,Family Time,other,fixed,true,840,930,90,0,
21,Review Flashcards,study,review,false,1020,1140,60,6,
21,Clean Room,errand,home,false,840,1020,60,4,
21,Call Family,other,personal,false,1080,1200,45,4,
21,Evening Walk,exercise,health,false,1140,1260,60,4,
21,Gaming,entertainment,relax,false,1200,1380,90,3,
21,Budget Check,errand,finance,false,780,900,45,5,
22,Sleep,other,fixed,true,0,480,480,0,
22,Breakfast,food,fixed,true,480,510,30,0,
22,Lunch,food,fixed,true,720,780,60,0,
22,Dinner,food,fixed,true,1080,1140,60,0,
22,Commute,other,fixed,true,510,540,30,0,
22,Work Block,work,fixed,true,780,960,180,0,
22,Study Algorithms,study,algorithms,false,540,720,120,9,
22,Data Structures Practice,study,coding,false,600,780,90,8,Study Algorithms
22,Gym Workout,exercise,fitness,false,1020,1200,90,6,
22,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
22,Plan Tomorrow,other,planning,false,1260,1380,30,5,
23,Sleep,other,fixed,true,0,480,480,0,
23,Breakfast,food,fixed,true,480,510,30,0,
23,Lunch,food,fixed,true,720,780,60,0,
23,Dinner,food,fixed,true,1080,1140,60,0,
23,Commute,other,fixed,true,510,540,30,0,
23,Lecture Block,study,fixed,true,540,660,120,0,
23,Review Lecture Notes,study,review,false,660,780,90,8,Lecture Block
23,Project Coding,study,project,false,900,1080,150,10,
23,Email Follow Up,work,admin,false,540,660,30,5,
23,Evening Walk,exercise,health,false,1140,1260,60,4,
23,Read Fiction,entertainment,reading,false,1260,1380,60,3,
24,Sleep,other,fixed,true,0,480,480,0,
24,Breakfast,food,fixed,true,480,510,30,0,
24,Lunch,food,fixed,true,720,780,60,0,
24,Dinner,food,fixed,true,1080,1140,60,0,
24,Commute,other,fixed,true,510,540,30,0,
24,Work Block,work,fixed,true,780,960,180,0,
24,Math Review,study,math,false,840,1020,120,8,
24,Resume Update,work,career,false,900,1020,60,7,
24,Apply Internship,work,career,false,960,1140,90,8,Resume Update
24,Laundry,errand,home,false,900,1080,60,5,
24,Stretching,exercise,health,false,1260,1320,30,3,
25,Sleep,other,fixed,true,0,480,480,0,
25,Breakfast,food,fixed,true,480,510,30,0,
25,Lunch,food,fixed,true,720,780,60,0,
25,Dinner,food,fixed,true,1080,1140,60,0,
25,Commute,other,fixed,true,510,540,30,0,
25,Lecture Block,study,fixed,true,540,660,120,0,
25,Finish Lab,study,lab,false,660,840,120,9,Lecture Block
25,Research Optimization,study,or,false,840,1020,90,7,
25,Coffee Break,food,snack,false,900,960,30,3,
25,Gym Workout,exercise,fitness,false,1020,1200,90,6,
25,Call Family,other,personal,false,1080,1200,45,4,
26,Sleep,other,fixed,true,0,480,480,0,
26,Breakfast,food,fixed,true,480,510,30,0,
26,Lunch,food,fixed,true,720,780,60,0,
26,Dinner,food,fixed,true,1080,1140,60,0,
26,Commute,other,fixed,true,510,540,30,0,
26,Work Block,work,fixed,true,780,960,180,0,
26,Project Coding,study,project,false,900,1080,150,10,
26,Write Project Notes,study,project,false,960,1140,60,7,Project Coding
26,Fill Gas,errand,car,false,960,1080,30,4,
26,Watch Show,entertainment,relax,false,1200,1380,90,3,
26,Plan Tomorrow,other,planning,false,1260,1380,30,5,
26,Weekly Planning,other,planning,false,1140,1260,60,6,
27,Sleep,other,fixed,true,0,540,540,0,
27,Breakfast,food,fixed,true,540,570,30,0,
27,Lunch,food,fixed,true,720,780,60,0,
27,Dinner,food,fixed,true,1080,1140,60,0,
27,Family Time,other,fixed,true,840,930,90,0,
27,Read OR Chapter,study,or,false,780,960,90,7,
27,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
27,Meal Prep,food,cooking,false,900,1080,90,5,
27,Basketball,exercise,sport,false,960,1140,90,5,
27,Movie Night,entertainment,movie,false,1140,1380,120,4,
28,Sleep,other,fixed,true,0,540,540,0,
28,Breakfast,food,fixed,true,540,570,30,0,
28,Lunch,food,fixed,true,720,780,60,0,
28,Dinner,food,fixed,true,1080,1140,60,0,
28,Family Time,other,fixed,true,840,930,90,0,
28,Review Flashcards,study,review,false,1020,1140,60,6,
28,Clean Room,errand,home,false,840,1020,60,4,
28,Call Family,other,personal,false,1080,1200,45,4,
28,Evening Walk,exercise,health,false,1140,1260,60,4,
28,Gaming,entertainment,relax,false,1200,1380,90,3,
28,Budget Check,errand,finance,false,780,900,45,5,
29,Sleep,other,fixed,true,0,480,480,0,
29,Breakfast,food,fixed,true,480,510,30,0,
29,Lunch,food,fixed,true,720,780,60,0,
29,Dinner,food,fixed,true,1080,1140,60,0,
29,Commute,other,fixed,true,510,540,30,0,
29,Work Block,work,fixed,true,780,960,180,0,
29,Study Algorithms,study,algorithms,false,540,720,120,9,
29,Data Structures Practice,study,coding,false,600,780,90,8,Study Algorithms
29,Gym Workout,exercise,fitness,false,1020,1200,90,6,
29,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
29,Plan Tomorrow,other,planning,false,1260,1380,30,5,
30,Sleep,other,fixed,true,0,480,480,0,
30,Breakfast,food,fixed,true,480,510,30,0,
30,Lunch,food,fixed,true,720,780,60,0,
30,Dinner,food,fixed,true,1080,1140,60,0,
30,Commute,other,fixed,true,510,540,30,0,
30,Lecture Block,study,fixed,true,540,660,120,0,
30,Review Lecture Notes,study,review,false,660,780,90,8,Lecture Block
30,Project Coding,study,project,false,900,1080,150,10,
30,Email Follow Up,work,admin,false,540,660,30,5,
30,Evening Walk,exercise,health,false,1140,1260,60,4,
30,Read Fiction,entertainment,reading,false,1260,1380,60,3,
30,Project Demo Prep,study,project,false,900,1080,120,10,Project Coding
